,Central,East,South,SouthWest,NorthWest
2030-03-12 02:00:00,5079.816747521741,3469.469938571917,399.2184043062882,3383.275573800384,754.9331898528432
2030-03-12 03:00:00,5008.209466180459,3573.9050790011543,403.2745501717081,3424.1183505357867,752.6096396808255
2030-03-12 04:00:00,5025.258493635087,3679.9011241079456,402.9991250302047,3449.933596575602,772.5598361241955
2030-03-12 05:00:00,5236.385569245339,3859.3853783425216,435.5607921421839,3587.893750746281,817.0328601129113
2030-03-12 06:00:00,5278.239975576072,4140.039477097132,483.01187245239856,3734.952622586601,970.1582455135716
2030-03-12 07:00:00,5518.685039618457,4120.63931835692,493.3682855331113,3871.770959534913,1081.4099194206992
2030-03-12 08:00:00,5985.190118617827,4195.507614363478,473.5234158230166,3827.835888834047,1148.814808124407
2030-03-12 09:00:00,6170.971917950746,4139.848166245388,466.0635863610361,3843.642249787305,1155.448541112464
2030-03-12 10:00:00,6110.744474663871,4171.664716083171,473.8728348376905,3887.617933997674,1156.6886464052543
2030-03-12 11:00:00,6232.050065396488,4096.545500410937,475.1979779594689,3800.5044020582895,1147.3991602076671
2030-03-12 12:00:00,6014.12342774112,4026.19331674966,477.09012246703935,3788.51057150529,1089.6490977271485
2030-03-12 13:00:00,6147.974675837577,4099.241456934881,471.2587967582429,3770.00237894038,1072.7418843237415
2030-03-12 14:00:00,6206.027487784989,4062.0784317691646,478.07948358213696,3802.583450191134,1107.8164426958772
2030-03-12 15:00:00,6229.154040655822,4131.564231764894,482.2520524096901,3885.050212412637,1108.709531034027
2030-03-12 16:00:00,6280.954700510689,4282.787171980018,500.787445965673,3888.7225313635786,1132.350906391254
2030-03-12 17:00:00,6265.350336278299,4462.524582434759,529.6268292319772,3993.607608874113,1200.7446808736242
2030-03-12 18:00:00,6367.044550962794,4601.96452131963,554.9740454690523,4154.481020944437,1248.8804663155684
2030-03-12 19:00:00,6395.554882567177,4602.5786306388745,571.8674617126273,4152.686806793677,1244.9320572817037
2030-03-12 20:00:00,6204.141360160551,4479.014172355947,568.3892322008988,4117.469176374449,1218.3198390569075
2030-03-12 21:00:00,6189.683035048099,4302.318928510066,516.2621258551443,3906.31908416154,1199.3866817927076
2030-03-12 22:00:00,5864.327335545138,4002.304822409799,479.9335024593969,3750.2875142446296,1069.888325527188
2030-03-12 23:00:00,5465.6823457554265,3775.0173469694128,448.7124965701085,3572.56682020811,911.2963038982726
2030-03-13 00:00:00,5187.066644864796,3521.478781336872,417.24981918717447,3560.6022233450576,817.0630383540112
2030-03-13 01:00:00,5191.533356100673,3485.025978097028,404.2671862962661,3426.2324261955346,777.5111165308219
2030-03-13 02:00:00,5055.566355176534,3493.194032016553,394.8807516723,3413.5026718307963,773.5203637162846
2030-03-13 03:00:00,5033.712129288258,3519.954272840836,407.5240218610135,3387.787805359904,764.5879631442627
2030-03-13 04:00:00,5032.426014963226,3664.790327692926,409.65805753424814,3496.698190482025,755.4734210643223
2030-03-13 05:00:00,5138.809497966076,3964.504562741316,439.7338791166716,3560.9197151030558,813.0499424731858
2030-03-13 06:00:00,5428.760358592865,4124.128464518863,484.931452673066,3755.12253730191,934.7108422965044
2030-03-13 07:00:00,5673.679406261606,4154.061971595324,482.615128592849,3892.439068663357,1118.7868244418307
